id,slug,name,website,google_place_id,instagram,neighborhood
e6b8f529-c5e0-4136-80e3-54f14de3441d,bia-om,Bia Om,https://bia-om.com/menu,ChIJNxZi9oXHwoARCI2P5y_RsNI,,Echo Park
1545fda3-5d3d-4101-8eb9-20c5bfdadf2b,unknown-1545fda3,Hauser & Wirth,,ChIJ0yp3zD7GwoARoWoWU4X2g8g,,
dee41e01-98ca-4495-8a02-ea7f2bcf2f48,baja-subs-market-deli-northridge,Baja Subs Market & Deli,,ChIJoUefmK2bwoARMQzl_Y6VKfE,,Northridge
30099b84-d36b-4d9a-a5d7-556341347221,step-up-on-west-third,Step Up on West Third,https://www.stepup.org/services/permanent-supportive-housing/,ChIJGRrnFxvHwoARv2JGehKiBeo,,
da61a9df-96f6-469a-9608-068a8697cfb8,rvr-restaurant-3-hot2025-cal-izakaya-venice-travis-lett-infatuation-#6,"RVR,restaurant,3-hot2025,Cal-izakaya - Venice - Travis Lett - Infatuation #6",,ChIJZ1pkfgC7woARjdvLWPbggwg,,
7f905b8b-6489-45a5-a2b1-edefc76e2245,howlin-ray-s-restaurant-1-hot-chicken-huge-editorial-footprint,"Howlin' Ray's,restaurant,1,Hot chicken - huge editorial footprint",,,,
11a7d3d2-c01e-46bf-a12c-fa358e6428da,unknown-11a7d3d2,Dockweiler State Beach,,ChIJ1asLRlSwwoARcbzH4K6wTPc,,
c5241182-299f-46dd-ad5e-399075f7c2bb,unknown-c5241182,Ennis House,,ChIJGVMxsUfBwoAR29CvRYADzgQ,,
cef67084-500d-4a6b-ba85-fe444dd62a7c,unknown-cef67084,Descanso Gardens,,ChIJx9y0KwfqwoAR5-sWU6kp8iA,,
ecbee21b-e996-4462-923e-348e4350b966,creekside-village,Creekside Village,,ChIJdZCo9cYg6IARYFg_0XiIyKE,,
14613925-acec-491d-b537-5c5a04847858,unknown-14613925,The Orpheum Theatre,,ChIJWQrC-crHwoARJvmB0kX7tbI,,
83ea7d49-08af-4011-a7e0-fe5355153367,unknown-83ea7d49,Los Angeles State Historic Park,,ChIJgfk0NV7GwoAR4ja9LMYRY0s,,
907f5f74-2275-42cd-a8ed-f4cd69d4699d,unknown-907f5f74,Arcana Books on the Arts,,ChIJbUsBG4O5woAR36lFBdtnk04,,
aab7c61f-e42a-4375-9192-fa2912a75652,unknown-aab7c61f,Elysian Park,,ChIJi7sKSe7GwoARnq0rarjBPC8,,
fca0afc9-04eb-46d4-abe2-a5e39a8a52d7,unknown-fca0afc9,Gamble House,,ChIJQ0LBQ6DDwoARCnmqzVfpLRQ,,
6293f468-ecaa-40ca-a2e1-ba8ddd2cefcd,unknown-6293f468,New Beverly Cinema,,ChIJLfFFL9a4woARRBcUFGpcO9M,,
e0e50146-aed0-46f2-beef-b3ca7496bb7a,unknown-e0e50146,Hammer Museum,,ChIJ9SNj34G8woARHOdEq52UX6k,,
fc8b73bc-7977-4d7d-8459-208f6911d755,unknown-fc8b73bc,Griffith Observatory,,ChIJywjU6WG_woAR3NrWwrEH_3M,,
